svg_label,station_ids,display_label,x,y
Shenton Way,TE19,Shenton Way (TE19),736.0,863.0
Siglap,TE28,Siglap (TE28),1147.0,758.0
Simei,EW3,Simei (EW3),1209.0,617.0
Sixth Avenue,DT7,Sixth Avenue (DT7),503.0,407.0
Somerset,NS23,Somerset (NS23),709.0,634.0
Soo,PW7,Soo (PW7),1131.0,182.0
South Pier,NS28,South Pier (NS28),724.0,984.0
South View,BP2,South View (BP2),307.0,211.0
Springleaf,TE4,Springleaf (TE4),632.0,163.0
Stadium,CC6,Stadium (CC6),1004.0,726.0
Stevens,"DT10,TE11","Stevens (DT10, TE11)",664.0,484.0
Sungei Bedok,EW5,Sungei Bedok (EW5),1269.0,782.0
Tai Seng,CC11,Tai Seng (CC11),989.0,556.0
Tampines,"DT32,EW2","Tampines (DT32, EW2)",1250.0,574.0
Tampines East,DT33,Tampines East (DT33),1292.0,609.0
Tampines North,"DT32,EW2","Tampines North (DT32, EW2)",1183.0,501.0
Tampines West,DT31,Tampines West (DT31),1184.0,562.0
Tan Kah Kee,DT8,Tan Kah Kee (DT8),529.0,434.0
Tanah Merah,"CG,EW4","Tanah Merah (CG, EW4)",1235.0,650.0
Tanjong Katong,TE25,Tanjong Katong (TE25),995.0,788.0
Tanjong Pagar,EW15,Tanjong Pagar (EW15),650.0,857.0
Tanjong Rhu,TE23,Tanjong Rhu (TE23),1000.0,879.0
Teck Lee,PW2,Teck Lee (PW2),1162.0,150.0
Telok,CC28,Telok (CC28),504.0,834.0
Telok Ayer,DT18,Telok Ayer (DT18),747.0,789.0
Thomson,TE8,Thomson (TE8),604.0,366.0
Tiong Bahru,EW17,Tiong Bahru (EW17),623.488,753.0
Toa Payoh,NS19,Toa Payoh (NS19),779.0,473.0
Tongkang Layar,SW6,Tongkang Layar (SW6),973.0,293.0
Tuas,EW31,Tuas (EW31),41.0,566.0
Tuas West Tuas Link Crescent,EW33,Tuas West Tuas Link Crescent (EW33),10.0,596.0
Ubi,DT27,Ubi (DT27),1036.0,575.0
Upper,DT34,Upper (DT34),621.0,354.0
Upper Changi,DT34,Upper Changi (DT34),1292.0,643.0
Woodlands,"NS9,TE2","Woodlands (NS9, TE2)",480.0,100.0
Woodlands North,TE1,Woodlands North (TE1),450.0,29.0
Woodlands South,TE3,Woodlands South (TE3),596.0,119.0
Woodleigh,NE11,Woodleigh (NE11),893.0,509.0
Yew Tee,NS5,Yew Tee (NS5),292.0,175.0
Yio,NS15,Yio (NS15),763.0,246.0
Yishun,NS13,Yishun (NS13),730.0,151.0
